aalib 1.4rc5-16
glibc 2.37-3
glslang 12.1.0-2
glu 9.0.2-3
gmp 6.2.1-2
gnu-free-fonts 20120503-8
gnupg 2.2.41-1
gnutls 3.8.0-1
gobject-introspection-runtime 1.76.1-3
gperf 3.1-4
gperftools 2.10-1
gpgme 1.20.0-3
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.22.4-10
grub 2:2.06.r499.ge67a551a4-1
gsettings-desktop-schemas 44.0-1
gsm 1.0.22-1
gspell 1.12.1-1
gssdp 1.6.2-1
gst-plugins-bad-libs 1.22.3-4
gst-plugins-base 1.22.3-4
gst-plugins-base-libs 1.22.3-4
gst-plugins-good 1.22.3-4
gstreamer 1.22.3-4
gtk-update-icon-cache 1:4.10.4-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
guile 3.0.9-1
gupnp 1:1.6.3-1
gupnp-igd 1.6.0-1
gzip 1.12-2
harfbuzz 7.3.0-1
harfbuzz-icu 7.3.0-1
haskell-adjunctions 4.4.2-51
haskell-aeson 2.1.2.1-3
haskell-aeson-pretty 0.8.9-133
haskell-alsa-core 0.5.0.1-17
haskell-alsa-mixer 0.3.0-73
haskell-annotated-wl-pprint 0.7.0-25
haskell-ansi-terminal 0.11.4-24
haskell-ansi-wl-pprint 0.6.9-376
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-207
haskell-asn1-parse 0.9.5-207
haskell-asn1-types 0.3.4-186
haskell-assoc 1.0.2-185
haskell-async 2.2.4-157
haskell-attoparsec 0.14.4-53
haskell-attoparsec-iso8601 1.1.0.0-29
haskell-auto-update 0.1.6-306
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-44
haskell-base-orphans 0.8.7-52
haskell-base-unicode-symbols 0.2.4.2-13
haskell-base16-bytestring 1.0.2.0-59
haskell-base64 0.4.2.4-46
haskell-base64-bytestring 1.2.1.0-81
haskell-basement 0.0.15-1
haskell-bifunctors 5.5.15-6
haskell-bitvec 1.1.3.0-50
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-203
haskell-blaze-markup 0.8.2.8-109
haskell-boring 0.2.1-1
haskell-bsb-http-chunked 0.0.0.4-349
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-cairo 0.13.8.2-31
haskell-call-stack 0.4.0-143
haskell-casa-client 0.0.1-587
haskell-casa-types 0.0.2-361
haskell-case-insensitive 1.2.1.0-182
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.8.1-34
haskell-clock 0.8.3-93
haskell-cmdargs 0.10.22-1
haskell-colour 2.3.6-168
haskell-commonmark 0.2.2-36
haskell-commonmark-extensions 0.2.3.4-3
haskell-commonmark-pandoc 0.2.1.3-23
