aalib 1.4rc5-16
libplist 2.3.0-2
libpng 1.6.39-1
libpng12 1.2.59-2
libproxy 0.4.18-3
libpsl 0.21.2-1
libptytty 2.0-4
libpulse 16.1-6
libqaccessibilityclient 0.4.1-2
libqalculate 4.6.1-1
libqmi 1.32.4-1
libqrtr-glib 1.2.2-2
libraw1394 2.1.2-3
librest 0.9.1-2
librsvg 2:2.56.1-1
librsync 1:2.3.4-1
libsamplerate 0.2.2-2
libsasl 2.1.28-4
libseccomp 2.5.4-2
libsecret 0.20.5-2
libshout 1:2.4.6-2
libsidplayfp 2.5.0-2
libslirp 4.7.0-1
libsm 1.2.4-1
libsmbios 2.4.3-6
libsndfile 1.2.0-1
libsodium 1.0.18-2
libsoup 2.74.3-1
libsoup3 3.4.2-1
libsoxr 0.1.3-3
libssh 0.10.5-1
libssh2 1.10.0-3
libstemmer 2.2.0-2
libsynctex 2023.66984-5
libsysprof-capture 3.48.0-2
libtasn1 4.19.0-1
libteam 1.31-8
libtermkey 0.22-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.5.0-4
libtirpc 1.3.3-2
libtommath 1.2.0-4
libtool 2.4.7+4+g1ec8fa28-3
libtraceevent 1:1.7.2-1
libtracefs 1.6.4-2
libunistring 1.1-2
libunwind 1.6.2-2
libupnp 1.14.17-1
liburcu 0.14.0-1
liburing 2.3-1
libusb 1.0.26-2
libusbmuxd 2.0.2-3
libutempter 1.2.1-3
libuv 1.44.2-1
libva 2.18.0-1
libva-mesa-driver 23.1.1-1
libvdpau 1.5-1
libverto 0.3.2-4
libvirt 1:9.4.0-1
libvirt-glib 4.0.0-2
libvirt-python 1:9.4.0-1
libvorbis 1.3.7-3
libvpx 1.13.0-1
libvterm 0.3.1-1
libwacom 2.7.0-1
libwbclient 4.18.3-1
libwebp 1.3.0-3
libwpe 1.14.1-2
libx11 1.8.5-1
libxau 1.0.11-2
libxaw 1.0.15-1
libxcb 1.15-2
libxcomposite 0.4.6-1
libxcrypt 4.4.34-1
libxcrypt-compat 4.4.34-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdg-basedir 1.2.3-1
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxfce4ui 4.18.4-1
libxfce4util 4.18.1-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.5.0-1
libxkbcommon-x11 1.5.0-1
libxkbfile 1.1.2-1
libxklavier 5.4-5
libxml2 2.10.4-4
libxmlb 0.3.11-1
libxmu 1.1.4-1
libxnvctrl 530.41.03-1
libxpm 3.5.16-1
libxpresent 1.0.1-1
libxrandr 1.5.3-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.37-3
libxss 1.2.3-4
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxvmc 1.0.13-2
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2322+3aebf69d-1
libzip 1.9.2-1
licenses 20220125-2
lightdm 1:1.32.0-4
lightdm-gtk-greeter 1:2.0.8-3
linux 6.3.6.arch1-1
linux-api-headers 6.3-1
linux-firmware 20230404.2e92a49f-1
linux-firmware-whence 20230404.2e92a49f-1
lld 15.0.7-2
llvm 15.0.7-3
llvm-libs 15.0.7-3
llvm14 14.0.6-3
llvm14-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
lolcat 100.0.1-1
lrzip 0.651-2
lsb-release 2.0.r48.3cf5103-1
lsof 4.98.0-1
lsscsi 0.32-1
lua 5.4.6-1
lua-lpeg 1.0.2-4
luajit 2.1.0.beta3.r481.g51fb2f2c-1
luit 20230201-1
lvm2 2.03.21-1
lxappearance 0.6.3-4
lxmenu-data 0.1.5-3
lxsession 1:0.5.5-2
lz4 1:1.9.4-1
lzo 2.10-5
lzop 1.04-3
m17n-db 1.8.2-1
m17n-lib 1.8.2-1
m4 1.4.19-3
mailcap 2.1.54-1
maim 5.7.4-5
make 4.4.1-2
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
menu-cache 1.1.0-4
mercurial 6.4.3-1
mesa 23.1.1-1
mesa-utils 9.0.0-2
midori 9.0-5
milou 5.27.5-1
minecraft-launcher 1:1.0.1221-1
minizip 1:1.2.13-2
mkinitcpio 36-1
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20230416-1
modemmanager 1.20.6-1
modemmanager-qt 5.106.0-1
mpc 0.34-3
mpd 0.23.13-1
mpfr 4.2.0.p9-1
mpg123 1.31.3-1
mpv 1:0.35.1-6
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mtools 1:4.0.43-1
mujs 1.3.3-1
multicolor-sddm-theme 0.1.8-1
multipath-tools 0.9.5-1
nano 7.2-1
nasm 2.16.01-1
ncurses 6.4_20230520-1
ndctl 76.1-1
neofetch 7.1.0-2
neovim 0.9.1-1
nerdfetch 6.0.0-1
nettle 3.9.1-1
network-manager-applet 1.32.0-2
networkmanager 1.42.6-1
networkmanager-qt 5.106.0-1
nftables 1:1.0.7-2
nilfs-utils 2.2.9-2
nm-connection-editor 1.32.0-2
nodejs 20.2.0-1
noto-fonts 20230601-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20220920-1
noto-fonts-extra 20230601-1
npth 1.6-4
nspr 4.35-1
nss 3.90-1
ntfs-3g 2022.10.3-1
numactl 2.0.16-1
ocl-icd 2.3.1-1
octopi 0.14.0-2
onetbb 2021.8.0-3
oniguruma 6.9.8-1
openal 1.23.1-1
openbsd-netcat 1.219_1-1
opencore-amr 0.1.6-1
opendoas 6.8.2-1
openexr 3.1.8-1
openjpeg2 2.5.0-2
openmpi 4.1.5-2
openpmix 4.2.3-2
openssh 9.3p1-1
openssl 3.0.9-1
opus 1.4-1
orc 0.4.34-1
osinfo-db 20230518-1
ostree 2023.3-1
otf-font-awesome 6.4.0-1
otf-raleway 4.101-1
oxygen 5.27.5-1
oxygen-sounds 5.27.5-1
p11-kit 0.24.1-1
pacman 6.0.2-7
pacman-contrib 1.9.0-1
pacman-mirrorlist 20230410-1
pacutils 0.11.1-1
pam 1.5.3-3
pambase 20221020-1
pandoc-cli 0.1-70
pango 1:1.50.14-1
parted 3.6-1
paru-bin 1.11.2-1
patch 2.7.6-10
patchelf 0.18.0-1
pciutils 3.10.0-1
pcmanfm-gtk3 1.3.2-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-3
perl 5.36.1-1
perl-clone 0.46-1
perl-data-dump 1.25-3
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-file-listing 6.15-2
perl-html-parser 3.81-1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.16-1
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-io-socket-ssl 2.083-1
perl-json 4.10-1
perl-libintl-perl 1.33-1
perl-libwww 6.67-1
perl-log-message 0.08-8
perl-log-message-simple 0.10-8
perl-lwp-mediatypes 6.04-3
perl-lwp-protocol-https 6.10-4
perl-mailtools 2.21-6
perl-mozilla-ca 20221114-1
perl-net-http 6.22-2
perl-net-ssleay 1.92-2
perl-term-readline-gnu 1.45-1
perl-term-ui 0.50-2
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.19-1
perl-www-robotrules 6.02-11
phodav 3.0-2
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-4
picom 10.2-1
pinentry 1.2.1-1
pipewire 1:0.3.71-2
pipewire-media-session 1:0.4.2-2
pixman 0.42.2-1
pkgconf 1.8.1-1
pkgfile 21-2
plasma-browser-integration 5.27.5-1
plasma-desktop 5.27.5-1
plasma-disks 5.27.5-1
plasma-firewall 5.27.5-1
plasma-framework 5.106.0-1
plasma-integration 5.27.5-1
plasma-nm 5.27.5-1
plasma-pa 5.27.5-1
plasma-sdk 5.27.5-1
plasma-systemmonitor 5.27.5-1
plasma-thunderbolt 5.27.5-1
plasma-vault 5.27.5-1
plasma-welcome 5.27.5-1
plasma-workspace 5.27.5-1
plasma-workspace-wallpapers 5.27.5-1
playerctl 2.4.1-3
plymouth 22.02.122-7
plymouth-kcm 5.27.5-1
polkit 122-1
polkit-kde-agent 5.27.5-1
polkit-qt5 0.114.0-1
polybar 3.6.3-3
poppler 23.05.0-1
poppler-glib 23.05.0-1
poppler-qt5 23.05.0-1
popt 1.19-1
portaudio 1:19.7.0-2
powerdevil 5.27.5-3
ppp 2.4.9-3
prison 5.106.0-1
procps-ng 3.3.17-1
protobuf 21.12-2
protobuf-c 1.4.1-1
psmisc 23.6-1
pulseaudio 16.1-6
purpose 5.106.0-1
python 3.11.3-1
python-cairo 1.23.0-6
python-chardet 5.1.0-3
python-distro 1.8.0-3
python-gobject 3.44.1-4
python-idna 3.4-3
python-jinja 1:3.1.2-4
python-markupsafe 2.1.2-3
python-numpy 1.24.3-2
python-psutil 5.9.5-1
python-pyqt5 5.15.9-2
python-pyqt5-sip 12.12.1-2
python-pyqt5-webengine 5.15.6-2
python-requests 2.28.2-4
python-urllib3 1.26.15-1
python-yaml 6.0-3
qalculate-gtk 4.6.1-1
qca-qt5 2.3.6-2
qemu-audio-spice 8.0.2-1
qemu-base 8.0.2-1
qemu-block-curl 8.0.2-1
qemu-block-dmg 8.0.2-1
qemu-block-nfs 8.0.2-1
qemu-block-ssh 8.0.2-1
qemu-chardev-spice 8.0.2-1
qemu-common 8.0.2-1
qemu-hw-display-qxl 8.0.2-1
qemu-hw-display-virtio-gpu 8.0.2-1
qemu-hw-display-virtio-gpu-gl 8.0.2-1
qemu-hw-display-virtio-gpu-pci 8.0.2-1
qemu-hw-display-virtio-gpu-pci-gl 8.0.2-1
qemu-hw-display-virtio-vga 8.0.2-1
qemu-hw-display-virtio-vga-gl 8.0.2-1
qemu-hw-s390x-virtio-gpu-ccw 8.0.2-1
qemu-hw-usb-host 8.0.2-1
qemu-hw-usb-redirect 8.0.2-1
qemu-hw-usb-smartcard 8.0.2-1
qemu-img 8.0.2-1
qemu-pr-helper 8.0.2-1
qemu-system-x86 8.0.2-1
qemu-system-x86-firmware 8.0.2-1
qemu-tools 8.0.2-1
qemu-ui-curses 8.0.2-1
qemu-ui-opengl 8.0.2-1
qemu-ui-spice-app 8.0.2-1
qemu-ui-spice-core 8.0.2-1
qpdf 11.4.0-1
qqc2-desktop-style 5.106.0-1
qrencode 4.1.1-2
qt5-base 5.15.9+kde+r155-1
qt5-declarative 5.15.9+kde+r26-1
qt5-doc 5.15.9-1
qt5-graphicaleffects 5.15.9-1
qt5-location 5.15.9+kde+r4-1
qt5-multimedia 5.15.9+kde+r3-1
qt5-quickcontrols 5.15.9-1
qt5-quickcontrols2 5.15.9+kde+r6-1
qt5-sensors 5.15.9-1
qt5-speech 5.15.9+kde+r1-1
qt5-svg 5.15.9+kde+r8-1
qt5-tools 5.15.9+kde+r1-1
qt5-translations 5.15.9-1
qt5-wayland 5.15.9+kde+r55-1
qt5-webchannel 5.15.9+kde+r3-1
qt5-webengine 5.15.14-1
qt5-webkit 5.212.0alpha4-19
qt5-websockets 5.15.9+kde+r2-1
qt5-webview 5.15.9-1
qt5-x11extras 5.15.9-1
qt5ct 1.7-1
qtermwidget 1.3.0-2
qutebrowser 2.5.4-2
rav1e 0.6.6-1
re2 1:20230301-1
readline 8.2.001-2
reddio 0.52-1
reiserfsprogs 3.6.27-4
rhash 1.4.3-1
ripgrep 13.0.0-3
rofi 1.7.5-1
rsync 3.2.7-4
rtkit 0.13-2
rubberband 3.2.1-1
ruby 3.0.5-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.5-1
ruby-bundler 2.4.12-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.6.3-1
ruby-logger 1.5.1-3
ruby-manpages 0.6.1-4
ruby-minitest 5.16.3-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-optimist 3.0.1-2
ruby-paint 2.3.0-2
ruby-power_assert 2.0.2-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.5-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.5-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.5.9-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.12.1-1
rubygems 3.3.25-1
rust 1:1.70.0-1
rxvt-unicode 9.31-3
rxvt-unicode-terminfo 9.31-3
screenfetch 3.9.1-1
sddm 0.19.0-9
sddm-kcm 5.27.5-1
sdl2 2.26.5-2
seabios 1.16.2-1
sed 4.9-3
shaderc 2023.3-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
shell-color-scripts 1.1.r113.576735c-1
shellcheck 0.9.0-42
signon-kwallet-extension 23.04.1-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
slang 2.3.3-2
sleuthkit 4.12.0-1
slock 1.5-1
slop 7.6-2
smartmontools 7.3-1
smbclient 4.18.3-1
snapd 2.59.5-1
snappy 1.1.9-2
socat 1.7.4.4-1
solid 5.106.0-1
sonnet 5.106.0-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-10
speex 1.2.1-1
speexdsp 1.2.1-1
spice 0.15.2-1
spice-gtk 0.42-3
spice-protocol 0.14.4-1
spirv-llvm-translator 15.0.0.r10+g78ad93b9-1
spirv-tools 2022.4-1
sqlite 3.42.0-1
squashfs-tools 4.6.1-1
srt 1.5.1-3
stack 2.7.5-296
starship 1.15.0-1
startup-notification 0.12-8
steam 1.0.0.78-1
strace 6.3-1
sudo 1.9.13.p3-1
supermin 5.3.2-1
svt-av1 1.5.0-1
sxhkd 0.6.2-3
sxiv 26-1
syndication 5.106.0-1
syntax-highlighting 5.106.0-1
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
systemd 253.5-1
systemd-libs 253.5-1
systemd-sysvcompat 253.5-1
systemsettings 5.27.5-1
taglib 1.13-1
talloc 2.4.0-3
tar 1.34-2
tdb 1.4.8-2
telepathy-glib 0.24.2-2
tevent 1:0.14.1-2
texinfo 7.0.3-1
thin-provisioning-tools 1.0.4-1
threadweaver 5.106.0-1
thunar 4.18.6-1
timidity++ 2.15.0-10
tpm2-tss 4.0.1-1
tracker3 3.5.3-1
translate-shell 0.9.7.1-1
trayer 1.1.8-3
tree-sitter 0.20.8-3
trizen 1:1.68-1
tslib 1.22-1
ttf-hack 3.003-6
ttf-jetbrains-mono 2.304-1
ttf-joypixels 7.0.0-1
ttf-liberation 2.1.5-1
ttf-mononoki 1.5-1
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols 3.0.2-1
ttf-nerd-fonts-symbols-common 3.0.2-1
ttf-ubuntu-font-family 1:0.83-1
twolame 0.4.0-3
tzdata 2023c-2
uchardet 0.0.8-1
udisks2 2.9.4-4
unibilium 2.1.1-1
unzip 6.0-19
upower 1.90.0-4
usbmuxd 1.1.1-3
usbredir 0.13.0-1
usbutils 015-3
util-linux 2.39-4
util-linux-libs 2.39-4
v4l-utils 1.24.1-2
vde2 2.3.3-3
vi 1:070224-6
vid.stab 1.1.1-1
vim 9.0.1572-1
vim-runtime 9.0.1572-1
virglrenderer 0.10.4-1
virt-install 4.1.0-2
virt-manager 4.1.0-2
virt-viewer 11.0-2
virtiofsd 1.6.1-1
visual-studio-code-bin 1.78.2-1
vmaf 2.3.1-1
volume_key 0.3.12-8
volumeicon 0.5.1-5
vte-common 0.72.2-1
vte3 0.72.2-1
vulkan-icd-loader 1.3.245-1
vulkan-radeon 23.1.1-1
vulkan-tools 1.3.245-1
wasi-compiler-rt 15.0.7-1
wasi-libc 1:0+328+1dfe5c3-1
wasi-libc++ 15.0.7-2
wasi-libc++abi 15.0.7-2
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.31-1
wayland-utils 1.1.0-1
webkit2gtk 2.40.2-1
webrtc-audio-processing 0.3.1-3
wget 1.21.4-1
which 2.21-6
wildmidi 0.4.5-2
wireless_tools 30.pre9-3
woff2 1.0.2-4
wolfssl 5.6.0-1
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
wxwidgets-common 3.2.2.1-1
wxwidgets-gtk3 3.2.2.1-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapian-core 1:1.4.22-1
xbitmaps 1.1.3-1
xcb-proto 1.15.2-3
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-dbus-proxy 0.1.4-1
xdg-desktop-portal 1.16.0-3
xdg-desktop-portal-kde 5.27.5-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+25+g8ae0263-1
xdo 0.5.7-2
xdotool 3.20211022.1-1
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.3.0-1
xf86-input-synaptics 1.9.2-1
xf86-input-vmmouse 13.2.0-1
xf86-input-void 1.4.2-1
xf86-input-wacom 1.2.0-1
xf86-video-amdgpu 23.0.0-1
xf86-video-ati 1:22.0.0-1
xf86-video-intel 1:2.99.917+923+gb74b67f0-1
xf86-video-nouveau 1.0.17-2
xf86-video-openchrome 0.6.0.r798.g0c75274-2
xf86-video-qxl 0.1.6-1
xf86-video-vmware 13.4.0-1
xfconf 4.18.1-1
xfsprogs 6.3.0-1
xkeyboard-config 2.38-1
xmlsec 1.2.37-1
xmlstarlet 1.6.1-3
xmobar 0.46-39
xmonad 0.17.1-96
xmonad-contrib 0.17.1-95
xorg-fonts-encodings 1.0.7-1
xorg-server 21.1.8-1
xorg-server-common 21.1.8-1
xorg-server-xvfb 21.1.8-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.2-1
xorg-xdpyinfo 1.3.4-1
xorg-xinit 1.4.2-1
xorg-xkbcomp 1.4.6-1
xorg-xkill 1.0.6-1
xorg-xmessage 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorgproto 2022.2-1
xterm 382-1
xvidcore 1.3.7-2
xwallpaper 0.7.4-1
xxhash 0.8.1-4
xz 5.4.3-1
yad 13.0-1
yajl 2.1.0-5
yara 4.3.1-1
yasm 1.3.0-6
yay 12.0.5-1
youtube-dl 2021.12.17-2
zathura 0.5.2-2
zathura-pdf-poppler 0.3.1-2
zeitgeist 1.0.4-2
zenity 3.44.1-1
zeromq 4.3.4-4
zimg 3.0.4-1
zip 3.0-10
zlib 1:1.2.13-2
zram-generator 1.1.2-1
zsh 5.9-3
zstd 1.5.5-1
zxing-cpp 2.0.0-2
zziplib 0.13.72-2
~ 9s λ 
